2016-12-17 17:06:25.471 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2016-12-17 18:45:43.457 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.class.path=C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\test-classes;C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\classes;C:\Users\lyp\.m2\repository\junit\junit\4.11\junit-4.11.jar;C:\Users\lyp\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\lyp\.m2\repository\com\alibaba\dubbo\2.5.3\dubbo-2.5.3.jar;C:\Users\lyp\.m2\repository\org\javassist\javassist\3.15.0-GA\javassist-3.15.0-GA.jar;C:\Users\lyp\.m2\repository\org\jboss\netty\netty\3.2.5.Final\netty-3.2.5.Final.jar;C:\Users\lyp\.m2\repository\org\apache\zookeeper\zookeeper\3.4.6\zookeeper-3.4.6.jar;C:\Users\lyp\.m2\repository\log4j\log4j\1.2.16\log4j-1.2.16.jar;C:\Users\lyp\.m2\repository\jline\jline\0.9.94\jline-0.9.94.jar;C:\Users\lyp\.m2\repository\io\netty\netty\3.7.0.Final\netty-3.7.0.Final.jar;C:\Users\lyp\.m2\repository\com\github\sgroschupf\zkclient\0.1\zkclient-0.1.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-test\4.2.0.RELEASE\spring-test-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-core\4.2.0.RELEASE\spring-core-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-web\4.2.0.RELEASE\spring-web-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-aop\4.2.0.RELEASE\spring-aop-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\aopalliance\aopalliance\1.0\aopalliance-1.0.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-beans\4.2.0.RELEASE\spring-beans-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-context\4.2.0.RELEASE\spring-context-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-expression\4.2.0.RELEASE\spring-expression-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\cheffo\jeplite\0.8.7a\jeplite-0.8.7a.jar;C:\Users\lyp\.m2\repository\net\sf\json-lib\json-lib\2.4\json-lib-2.4-jdk15.jar;C:\Users\lyp\.m2\repository\commons-beanutils\commons-beanutils\1.8.0\commons-beanutils-1.8.0.jar;C:\Users\lyp\.m2\repository\commons-collections\commons-collections\3.2.1\commons-collections-3.2.1.jar;C:\Users\lyp\.m2\repository\commons-lang\commons-lang\2.5\commons-lang-2.5.jar;C:\Users\lyp\.m2\repository\commons-logging\commons-logging\1.1.1\commons-logging-1.1.1.jar;C:\Users\lyp\.m2\repository\net\sf\ezmorph\ezmorph\1.0.6\ezmorph-1.0.6.jar;C:\Users\lyp\git\zplatform-acc-service\zplatform-acc-service\target\classes;C:\Users\lyp\git\zplatform-acc-service\zplatform-acc-bean\target\classes;C:\Users\lyp\.m2\repository\org\slf4j\slf4j-api\1.7.7\slf4j-api-1.7.7.jar;C:\Users\lyp\.m2\repository\ch\qos\logback\logback-core\1.1.3\logback-core-1.1.3.jar;C:\Users\lyp\.m2\repository\ch\qos\logback\logback-classic\1.1.3\logback-classic-1.1.3.jar;C:\Users\lyp\.m2\repository\org\slf4j\slf4j-log4j12\1.7.21\slf4j-log4j12-1.7.21.jar;C:\Users\lyp\.m2\repository\org\slf4j\log4j-over-slf4j\1.7.21\log4j-over-slf4j-1.7.21.jar;C:\Users\lyp\.m2\repository\org\slf4j\jcl-over-slf4j\1.7.21\jcl-over-slf4j-1.7.21.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\zplatform-member-individual-api\1.0.0-SNAPSHOT\zplatform-member-individual-api-1.0.0-SNAPSHOT.jar;C:\Users\lyp\git\zplatform-member-commons\zplatform-member-commons-api\target\classes;C:\Users\lyp\.m2\repository\com\alibaba\fastjson\1.2.7\fastjson-1.2.7.jar;C:\Users\lyp\.m2\repository\com\google\guava\guava\19.0\guava-19.0.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\zplatform-member-merchant-api\1.0.0-SNAPSHOT\zplatform-member-merchant-api-1.0.0-SNAPSHOT.jar;C:\Users\lyp\git\zplatform-member-commons\zplatform-member-commons\target\classes;C:\Users\lyp\.m2\repository\org\springframework\spring-context-support\4.2.0.RELEASE\spring-context-support-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-orm\4.2.0.RELEASE\spring-orm-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-jdbc\4.2.0.RELEASE\spring-jdbc-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-tx\4.2.0.RELEASE\spring-tx-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-aspects\4.2.0.RELEASE\spring-aspects-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\aspectj\aspectjweaver\1.8.6\aspectjweaver-1.8.6.jar;C:\Users\lyp\.m2\repository\commons-net\commons-net\3.3\commons-net-3.3.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-c3p0\4.2.0.Final\hibernate-c3p0-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\org\jboss\logging\jboss-logging\3.1.0.GA\jboss-logging-3.1.0.GA.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-core\4.2.0.Final\hibernate-core-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\antlr\antlr\2.7.7\antlr-2.7.7.jar;C:\Users\lyp\.m2\repository\org\jboss\spec\javax\transaction\jboss-transaction-api_1.1_spec\1.0.0.Final\jboss-transaction-api_1.1_spec-1.0.0.Final.jar;C:\Users\lyp\.m2\repository\dom4j\dom4j\1.6.1\dom4j-1.6.1.jar;C:\Users\lyp\.m2\repository\org\hibernate\javax\persistence\hibernate-jpa-2.0-api\1.0.1.Final\hibernate-jpa-2.0-api-1.0.1.Final.jar;C:\Users\lyp\.m2\repository\org\hibernate\common\hibernate-commons-annotations\4.0.1.Final\hibernate-commons-annotations-4.0.1.Final.jar;C:\Users\lyp\.m2\repository\c3p0\c3p0\0.9.1\c3p0-0.9.1.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-validator\4.2.0.Final\hibernate-validator-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\javax\validation\validation-api\1.0.0.GA\validation-api-1.0.0.GA.jar;C:\Users\lyp\.m2\repository\com\oracle\ojdbc6\11\ojdbc6-11.jar;C:\Users\lyp\.m2\repository\cglib\cglib\2.2\cglib-2.2.jar;C:\Users\lyp\.m2\repository\asm\asm\3.1\asm-3.1.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\javabase64\1.3.1\javabase64-1.3.1.jar;C:\Users\lyp\git\zplatform-member-coopinsti\zplatform-member-coopinsti-api\target\classes;C:\Users\lyp\.m2\repository\com\alibaba\druid\1.0.26\druid-1.0.26.jar;D:\Program Files\Java\jdk1.8.0_101\lib\jconsole.jar;D:\Program Files\Java\jdk1.8.0_101\lib\tools.jar;/D:/eclipse/eclipse/configuration/org.eclipse.osgi/383/0/.cp/;/D:/eclipse/eclipse/configuration/org.eclipse.osgi/382/0/.cp/
2016-12-17 18:45:43.460 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.library.path=D:\Program Files\Java\jdk1.8.0_101\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/bin/server;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/bin;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/lib/amd64;D:\apache-maven-3.3.9\bin;C:\Program Files (x86)\Common Files\NetSarang;G:\home\web\trade;D:\Program Files\Java\jdk1.8.0_101\bin;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Common Files\Lenovo;C:\SWTOOLS\ReadyApps;D:\Program Files (x86)\Rational\common;D:\svn\bin;D:\testng\apache-ant-1.9.7\bin;D:\eclipse\eclipse;;.
2016-12-17 18:45:43.461 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.io.tmpdir=C:\Users\lyp\AppData\Local\Temp\
2016-12-17 18:45:43.461 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.compiler=<NA>
2016-12-17 18:45:43.461 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.name=Windows 7
2016-12-17 18:45:43.462 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.arch=amd64
2016-12-17 18:45:43.462 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.version=6.1
2016-12-17 18:45:43.462 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.name=lyp
2016-12-17 18:45:43.462 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.home=C:\Users\lyp
2016-12-17 18:45:43.462 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.dir=C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server
2016-12-17 18:45:43.463 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 438 ] - Initiating client connection, connectString=192.168.101.104:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@7582ff54
2016-12-17 18:45:43.589 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 975 ] - Opening socket connection to server 192.168.101.104/192.168.101.104:2181. Will not attempt to authenticate using SASL (unknown error)
2016-12-17 18:45:43.592 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 852 ] - Socket connection established to 192.168.101.104/192.168.101.104:2181, initiating session
2016-12-17 18:45:43.626 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 1235 ] - Session establishment complete on server 192.168.101.104/192.168.101.104:2181, sessionid = 0x1585ea4ee37058b, negotiated timeout = 30000
2016-12-17 18:45:44.154 [ Thread-1 ] - [ INFO  ] [o.s.context.support.GenericApplicationContext : 951 ] - Closing org.springframework.context.support.GenericApplicationContext@545997b1: startup date [Sat Dec 17 18:45:42 CST 2016]; root of context hierarchy
2016-12-17 18:45:44.164 [ DubboShutdownHook ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 684 ] - Session: 0x1585ea4ee37058b closed
2016-12-17 18:45:44.165 [ main-EventThread ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 512 ] - EventThread shut down
2016-12-17 18:50:02.073 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2016-12-17 18:50:02.081 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 207 ] - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2016-12-17 18:50:02.089 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 185 ] - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@63440df3, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3aeaafa6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@76a3e297, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4d3167f4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@ed9d034]
2016-12-17 18:50:02.179 [ main ] - [ INFO  ] [o.s.beans.factory.xml.XmlBeanDefinitionReader : 317 ] - Loading XML bean definitions from file [C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\test-classes\spring\spring-context.xml]
2016-12-17 18:50:03.183 [ main ] - [ INFO  ] [o.s.beans.factory.xml.XmlBeanDefinitionReader : 317 ] - Loading XML bean definitions from class path resource [spring-dubbo-consumer.xml]
2016-12-17 18:50:03.236 [ main ] - [ INFO  ] [o.s.context.support.GenericApplicationContext : 573 ] - Refreshing org.springframework.context.support.GenericApplicationContext@545997b1: startup date [Sat Dec 17 18:50:03 CST 2016]; root of context hierarchy
2016-12-17 18:50:03.302 [ main ] - [ INFO  ] [o.s.b.factory.config.PropertyPlaceholderConfigurer : 172 ] - Loading properties file from file [D:\cert\database.properties]
2016-12-17 18:50:03.303 [ main ] - [ INFO  ] [o.s.b.factory.config.PropertyPlaceholderConfigurer : 172 ] - Loading properties file from file [C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\test-classes\dubbo.properties]
2016-12-17 18:50:03.814 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2016-12-17 18:50:03.815 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:host.name=lyp-PC
2016-12-17 18:50:03.815 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.version=1.8.0_101
2016-12-17 18:50:03.815 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.vendor=Oracle Corporation
2016-12-17 18:50:03.815 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.home=D:\Program Files\Java\jdk1.8.0_101\jre
2016-12-17 18:50:03.815 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.class.path=C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\test-classes;C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server\target\classes;C:\Users\lyp\.m2\repository\junit\junit\4.11\junit-4.11.jar;C:\Users\lyp\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\lyp\.m2\repository\com\alibaba\dubbo\2.5.3\dubbo-2.5.3.jar;C:\Users\lyp\.m2\repository\org\javassist\javassist\3.15.0-GA\javassist-3.15.0-GA.jar;C:\Users\lyp\.m2\repository\org\jboss\netty\netty\3.2.5.Final\netty-3.2.5.Final.jar;C:\Users\lyp\.m2\repository\org\apache\zookeeper\zookeeper\3.4.6\zookeeper-3.4.6.jar;C:\Users\lyp\.m2\repository\log4j\log4j\1.2.16\log4j-1.2.16.jar;C:\Users\lyp\.m2\repository\jline\jline\0.9.94\jline-0.9.94.jar;C:\Users\lyp\.m2\repository\io\netty\netty\3.7.0.Final\netty-3.7.0.Final.jar;C:\Users\lyp\.m2\repository\com\github\sgroschupf\zkclient\0.1\zkclient-0.1.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-test\4.2.0.RELEASE\spring-test-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-core\4.2.0.RELEASE\spring-core-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-web\4.2.0.RELEASE\spring-web-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-aop\4.2.0.RELEASE\spring-aop-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\aopalliance\aopalliance\1.0\aopalliance-1.0.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-beans\4.2.0.RELEASE\spring-beans-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-context\4.2.0.RELEASE\spring-context-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-expression\4.2.0.RELEASE\spring-expression-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\cheffo\jeplite\0.8.7a\jeplite-0.8.7a.jar;C:\Users\lyp\.m2\repository\net\sf\json-lib\json-lib\2.4\json-lib-2.4-jdk15.jar;C:\Users\lyp\.m2\repository\commons-beanutils\commons-beanutils\1.8.0\commons-beanutils-1.8.0.jar;C:\Users\lyp\.m2\repository\commons-collections\commons-collections\3.2.1\commons-collections-3.2.1.jar;C:\Users\lyp\.m2\repository\commons-lang\commons-lang\2.5\commons-lang-2.5.jar;C:\Users\lyp\.m2\repository\commons-logging\commons-logging\1.1.1\commons-logging-1.1.1.jar;C:\Users\lyp\.m2\repository\net\sf\ezmorph\ezmorph\1.0.6\ezmorph-1.0.6.jar;C:\Users\lyp\git\zplatform-acc-service\zplatform-acc-service\target\classes;C:\Users\lyp\git\zplatform-acc-service\zplatform-acc-bean\target\classes;C:\Users\lyp\.m2\repository\org\slf4j\slf4j-api\1.7.7\slf4j-api-1.7.7.jar;C:\Users\lyp\.m2\repository\ch\qos\logback\logback-core\1.1.3\logback-core-1.1.3.jar;C:\Users\lyp\.m2\repository\ch\qos\logback\logback-classic\1.1.3\logback-classic-1.1.3.jar;C:\Users\lyp\.m2\repository\org\slf4j\slf4j-log4j12\1.7.21\slf4j-log4j12-1.7.21.jar;C:\Users\lyp\.m2\repository\org\slf4j\log4j-over-slf4j\1.7.21\log4j-over-slf4j-1.7.21.jar;C:\Users\lyp\.m2\repository\org\slf4j\jcl-over-slf4j\1.7.21\jcl-over-slf4j-1.7.21.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\zplatform-member-individual-api\1.0.0-SNAPSHOT\zplatform-member-individual-api-1.0.0-SNAPSHOT.jar;C:\Users\lyp\git\zplatform-member-commons\zplatform-member-commons-api\target\classes;C:\Users\lyp\.m2\repository\com\alibaba\fastjson\1.2.7\fastjson-1.2.7.jar;C:\Users\lyp\.m2\repository\com\google\guava\guava\19.0\guava-19.0.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\zplatform-member-merchant-api\1.0.0-SNAPSHOT\zplatform-member-merchant-api-1.0.0-SNAPSHOT.jar;C:\Users\lyp\git\zplatform-member-commons\zplatform-member-commons\target\classes;C:\Users\lyp\.m2\repository\org\springframework\spring-context-support\4.2.0.RELEASE\spring-context-support-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-orm\4.2.0.RELEASE\spring-orm-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-jdbc\4.2.0.RELEASE\spring-jdbc-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-tx\4.2.0.RELEASE\spring-tx-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\springframework\spring-aspects\4.2.0.RELEASE\spring-aspects-4.2.0.RELEASE.jar;C:\Users\lyp\.m2\repository\org\aspectj\aspectjweaver\1.8.6\aspectjweaver-1.8.6.jar;C:\Users\lyp\.m2\repository\commons-net\commons-net\3.3\commons-net-3.3.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-c3p0\4.2.0.Final\hibernate-c3p0-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\org\jboss\logging\jboss-logging\3.1.0.GA\jboss-logging-3.1.0.GA.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-core\4.2.0.Final\hibernate-core-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\antlr\antlr\2.7.7\antlr-2.7.7.jar;C:\Users\lyp\.m2\repository\org\jboss\spec\javax\transaction\jboss-transaction-api_1.1_spec\1.0.0.Final\jboss-transaction-api_1.1_spec-1.0.0.Final.jar;C:\Users\lyp\.m2\repository\dom4j\dom4j\1.6.1\dom4j-1.6.1.jar;C:\Users\lyp\.m2\repository\org\hibernate\javax\persistence\hibernate-jpa-2.0-api\1.0.1.Final\hibernate-jpa-2.0-api-1.0.1.Final.jar;C:\Users\lyp\.m2\repository\org\hibernate\common\hibernate-commons-annotations\4.0.1.Final\hibernate-commons-annotations-4.0.1.Final.jar;C:\Users\lyp\.m2\repository\c3p0\c3p0\0.9.1\c3p0-0.9.1.jar;C:\Users\lyp\.m2\repository\org\hibernate\hibernate-validator\4.2.0.Final\hibernate-validator-4.2.0.Final.jar;C:\Users\lyp\.m2\repository\javax\validation\validation-api\1.0.0.GA\validation-api-1.0.0.GA.jar;C:\Users\lyp\.m2\repository\com\oracle\ojdbc6\11\ojdbc6-11.jar;C:\Users\lyp\.m2\repository\cglib\cglib\2.2\cglib-2.2.jar;C:\Users\lyp\.m2\repository\asm\asm\3.1\asm-3.1.jar;C:\Users\lyp\.m2\repository\com\zlebank\zplatform\javabase64\1.3.1\javabase64-1.3.1.jar;C:\Users\lyp\git\zplatform-member-coopinsti\zplatform-member-coopinsti-api\target\classes;C:\Users\lyp\.m2\repository\com\alibaba\druid\1.0.26\druid-1.0.26.jar;D:\Program Files\Java\jdk1.8.0_101\lib\jconsole.jar;D:\Program Files\Java\jdk1.8.0_101\lib\tools.jar;/D:/eclipse/eclipse/configuration/org.eclipse.osgi/383/0/.cp/;/D:/eclipse/eclipse/configuration/org.eclipse.osgi/382/0/.cp/
2016-12-17 18:50:03.816 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.library.path=D:\Program Files\Java\jdk1.8.0_101\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/bin/server;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/bin;D:/Program Files/Java/jdk1.8.0_101/bin/../jre/lib/amd64;D:\apache-maven-3.3.9\bin;C:\Program Files (x86)\Common Files\NetSarang;G:\home\web\trade;D:\Program Files\Java\jdk1.8.0_101\bin;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Common Files\Lenovo;C:\SWTOOLS\ReadyApps;D:\Program Files (x86)\Rational\common;D:\svn\bin;D:\testng\apache-ant-1.9.7\bin;D:\eclipse\eclipse;;.
2016-12-17 18:50:03.817 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.io.tmpdir=C:\Users\lyp\AppData\Local\Temp\
2016-12-17 18:50:03.817 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.compiler=<NA>
2016-12-17 18:50:03.817 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.name=Windows 7
2016-12-17 18:50:03.817 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.arch=amd64
2016-12-17 18:50:03.817 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:os.version=6.1
2016-12-17 18:50:03.818 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.name=lyp
2016-12-17 18:50:03.818 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.home=C:\Users\lyp
2016-12-17 18:50:03.818 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:user.dir=C:\Users\lyp\git\zplatform-member-merchant\zplatform-member-merchant-server
2016-12-17 18:50:03.819 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 438 ] - Initiating client connection, connectString=192.168.101.104:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@6c2c1385
2016-12-17 18:50:03.959 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 975 ] - Opening socket connection to server 192.168.101.104/192.168.101.104:2181. Will not attempt to authenticate using SASL (unknown error)
2016-12-17 18:50:03.961 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 852 ] - Socket connection established to 192.168.101.104/192.168.101.104:2181, initiating session
2016-12-17 18:50:04.011 [ main-SendThread(192.168.101.104:2181) ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 1235 ] - Session establishment complete on server 192.168.101.104/192.168.101.104:2181, sessionid = 0x1585ea4ee37058d, negotiated timeout = 30000
2016-12-17 18:50:04.550 [ Thread-1 ] - [ INFO  ] [o.s.context.support.GenericApplicationContext : 951 ] - Closing org.springframework.context.support.GenericApplicationContext@545997b1: startup date [Sat Dec 17 18:50:03 CST 2016]; root of context hierarchy
2016-12-17 18:50:04.567 [ DubboShutdownHook ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 684 ] - Session: 0x1585ea4ee37058d closed
2016-12-17 18:50:04.568 [ main-EventThread ] - [ INFO  ] [org.apache.zookeeper.ClientCnxn : 512 ] - EventThread shut down
2016-12-17 19:07:43.231 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2016-12-17 19:07:43.239 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 207 ] - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
